Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble,nivel_poder_ejecutivo
Colombia,1991,0.76,"46,902",5,0.33,3,76,the people of colombia in the exercise of their sovereign power represented by their delegates to the national constituent assembly invoking the protection of god and in order to strengthen the unity of the nation and ensure to its members life peaceful coexistence work justice equality understanding freedom and peace within a legal democratic and participatory framework that may guarantee a just political economic and social order and committed to promote the integration of the latin american community decree authorize and promulgate the following,1
Comoros,2001,0.44,"6,185",5,0.24,1,23,the comorian people solemnly affirm their willto draw from islam the religion of the state the permanent inspiration of the principles and rules that govern the unionto guarantee the pursuit of a common destiny of the comorians to give themselves new institutions which are founded on the rule of law and democracy respect the principles of good governance and guarantee a powersharing between the union and the islands which are its members in order to allow them to realize their legitimate aspirations to administer and manage freely without obstacles their own affairs and to promote their socioeconomic development to emphasize their commitment to the principles and fundamental rights defined by the charter of the united nations by the charter of the organization of african unity by the pact of the league of arab states by the universal declaration of human rights and by the african charter on human and peoples rights as well as by the international conventions particularly those relating to childrens and womens rights they proclaimthe solidarity between the union and the islands and among the islands themselvesthe equality of the islands concerning rights and duties the equality of all concerning rights and duties without distinctions based on sex origin race religion or belief the equality of all before the courts and the right of anyone who is subject to the jurisdiction of the courts to defend himself the freedom and security of each individual under the sole condition that he does not commit any act likely to harm others the right to obtain information from a variety of sources and to freedom of the press freedom of expression and of assembly freedom of association and freedom to organize trade unions subject to respect for morals and public order freedom of enterprise as well as the safety of capital and investments the inviolability of the domicile in the conditions defined by law the right to strike within the framework of the laws which regulate it the guarantee of property rights save in cases of public utility or necessity determined in accordance with the law and subject to just compensation the right to health and education for all the right of the child and of the youth to be protected by the public authorities against any form of abandonment exploitation and violence the right to an intact environment and the duty of all to preserve that environment this shall be considered an integral part of the constitution,1
Congo,2001,0.6,"9,970",6,0.29,2,55,the morning after the accession of the congo to the dignity of a sovereign and independent state a decisive turning point had been taken notably by the crystallization of the collective hope in the becoming of the nation the experiences lived through the different political regimes that have succeeded one another as well as those of other peoples have led the congolese people to make the choice of pluralist democracy as the base of the values having to orient the development of the country to stimulate its moral cultural and material development and to respond to the collective demand for a social betterbeing also concerned to work for the enrichment of the universal patrimony common to all the democratic societies around the world and founding ourselves on the sociocultural values particular to our country we the congolese people proclaim our firm willingness to construct a state of law and a fraternal and solidary nation condemn the coup détat the tyrannical exercise of power and the use of political violence under all its forms as a means of ascension to power or to its conservation adhere to the universal values of peace of freedom of equality of justice of tolerance of probity and to the virtues of dialogue as cardinal references of the new political culture reaffirm the sacred character of the human life the right to property and the right to diversity reaffirm solemnly our permanent right of inalienable sovereignty concerning all our wealth and our natural resources as fundamental elements of our development declare as an integral part of this constitution the fundamental principles proclaimed and guaranteed bythe united nations charter of october the universal declaration of the rights of man of december the african charter of the rights of man and of peoples of june all the pertinent international texts duly ratified relative to human rights the charter of the national unity and the charter of the rights and the freedoms adopted by the sovereign national conference on may ordain and establish for the congo this constitution that enunciates the fundamental principles of the republic defines the rights and the duties of the citizens and establishes the forms of organization and the rules of functioning of the state,1
"Congo, Dem. Rep.",2005,0.7,"19,285",5,0.38,1,58,we the congolese people united by destiny and history encompassing the noble ideas of liberty of fraternity of solidarity of justice of peace and of work animated by our common will to build in the heart of africa a state of law and a powerful and prosperous nation founded on a real political economic social and cultural democracy considering that injustice and its corollaries impunity nepotism regionalism tribalism clanism and patronage by their multiple vicissitudes are at the origin of the general decline of values and of the ruin of the country affirming our determination to protect and to consolidate the national independence and unity with respect for our diversities and for our positive particularities reaffirming our adherence and our attachment to the conventions of the united nations on the rights of the child and on the rights of women particularly to the objective of the parity of manwoman representation within the institutions of the country as well as to the international instruments concerning the protection and promotion of human rights moved by the will to see all the african states united and working in concert with a view of promoting and of consolidating african unity through the continental regional or subregional organizations to offer better perspectives of development and of socioeconomic progress to the peoples of africa attached to the promotion of mutually advantageous international cooperation and to the rapprochement of the peoples of the world with respect to their respective identities and to the principles of sovereignty and of the territorial integrity of each state reaffirming our inalienable and imprescriptible right to organize ourselves freely and to develop our political economic social and cultural life following our own genius conscious of our responsibilities before god the nation africa and the world solemnly declare to adopt this constitution,1
Costa Rica,1949,0.63,"16,705",5,0.29,1,55,we the representatives of the people of costa rica freely elected deputies to the national constituent assembly invoking the name of god and reiterating our faith in democracy decree and sanction the following,1
Cote d'Ivoire,2000,0.5,"7,897",6,0.33,3,36,the people of côte divoire conscious of their liberty and national identity of their responsibility before history and humanity conscious of their ethnic cultural and religious diversity and desirous to build one nation unified in solidarity and prosperous convinced that union with respect for diversity assures economic progress and social wellbeing profoundly attached to constitutional legality and to democratic institutions proclaims its adherence to the rights and freedoms as defined in the universal declaration of the rights of man of and in the african charter of the rights of man and of peoples of expressing its attachment to democratic values recognized to all the free people notablythe respect and the protection of fundamental freedoms individual as well as collectivethe separation and the equilibrium of powers transparency in the conduct of public affairs committed to the promotion of regional and subregional integration in view of the constitution of african unity gives freely and solemnly as the fundamental law this constitution adopted by referendum,1
Croatia,1991,0.59,"10,898",6,0.43,4,69,i historical foundations i historical foundationsthe millenary identity of the croatia nation and the continuity of its statehood confirmed by the course of its entire historical experience within different forms of states and by the preservation and growth of the idea of a national state founded on the historical right of the croatian nation to full sovereignty manifested inthe formation of croatian principalities in the seventh centurythe independent mediaeval state of croatia founded in the ninth century the kingdom of croats established in the tenth century the preservation of the identity of the croatian state in the croatianhungarian personal union the independent and sovereign decision of the croatian parliament sabor of to elect a king from the habsburg dynasty the independent and sovereign decision of the croatian parliament of the pragmatic sanction of the conclusions of the croatian parliament of regarding the restoration of the triune kingdom of croatia under the authority of the banus grounded on the historical national and natural right of the croatian nation the croatianhungarian compromise of on the relations between the kingdom of dalmatia croatia and slavonia and the kingdom of hungary grounded on the legal traditions of both states and the pragmatic sanction of the decision of the croatian parliament of october to dissolve state relations between croatia and austriahungary and the simultaneous affiliation of independent croatia invoking its historical and natural right as a nation with the state of slovenes croats and serbs proclaimed on the former territory of the habsburg monarchy the fact that the croatian parliament had never sanctioned the decision of the national council of the state of slovenes croats and serbs to unite with serbia and montenegro in the kingdom of serbs croats and slovenes december subsequently october proclaimed the kingdom of yugoslavia the establishment of the home rule banovina of croatia in by which croatian state identity was restored within the kingdom of yugoslavia establishing the foundations of state sovereignty during the course of the second world war by the decisions of the antifascist council of national liberation of croatia as opposed to the proclamation of the independent state of croatia and subsequently in the constitution of the peoples republic of croatia and all later constitutions of the socialist republic of croatia on the threshold of the historical changes marked by the collapse of the communist system and changes in the european international order the croatian nation by its freely expressed will at the first democratic elections reaffirmed its millenniary statehood by the new constitution of the republic of croatia and the victory in the homeland war the croatian nation demonstrated its will and determination to establish and defend the republic of croatia as a free independent sovereign and democratic state considering the presented historical facts and universally accepted principles of the modern world as well as the inalienable and indivisible nontransferable and nonexhaustible right of the croatian nation to selfdetermination and state sovereignty including its fully maintained right to secession and association as basic provisions for peace and stability of the international order the republic of croatia is established as the national state of the croatian nation and the state of the members of autochthonous national minorities serbs czechs slovaks italians hungarians jews germans austrians ukrainians and ruthenians and the others who are citizens and who are guaranteed equality with citizens of croatian nationality and the realization of national rights in accordance with the democratic norms of the united nations organization and the countries of the free world respecting the will of the croatian nation and all citizens resolutely expressed in the free elections the republic of croatia is hereby founded and shall develop as a sovereign and democratic state in which equality freedoms and human rights are guaranteed and ensured and their economic and cultural progress and social welfare promoted,1
Cuba,1976,0.54,"12,893",3,0.38,1,45,we cuban citizens heirs and continuators of the creative work and the traditions of combativity firmness heroism and sacrifice fostered by our ancestors by the indians who preferred extermination to submission by the slaves who rebelled against their masters by those who awoke the national consciousness and the ardent cuban desire for an independent homeland and liberty by the patriots who in launched the wars of independence against spanish colonialism and those who in the last drive of brought them to the victory of victory usurped by the military intervention and occupation of yankee imperialism by the workers peasants students and intellectuals who struggled for over fifty years against imperialist domination political corruption the absence of peoples rights and liberties unemployment and exploitation by capitalists and landowners by those who promoted joined and developed the first organization of workers and peasants spread socialist ideas and founded the first marxist and marxistleninist movements by the members of the vanguard of the generation of the centenary of the birth of martí who imbued with his teachings led us to the peoples revolutionary victory of january by those who defended the revolution at the cost of their lives thus contributing to its definitive consolidation by those who en masse accomplished heroic internationalist missions guided by the ideology of josé martí and the sociopolitical ideas of marx engels and lenin supported by proletarian internationalism by the fraternal friendship aid cooperation and solidarity of the peoples of the world especially those of latin america and the caribbean and having decided to carry forward the triumphant revolution of the moncada and the granma of the sierra and of girón under the leadership of fidel castro which sustained by the closest unity of all revolutionary forces and of the people won full national independence established the revolutionary power carried out democratic changes started the construction of socialism and under the direction of the communist party continues said construction with the objective of building a communist society aware that all the regimes of the exploitation of man by man cause the humiliation of the exploited and the degradation of the human nature of the exploiters that only under socialism and communism when man has been freed from all forms of exploitationslavery servitude and capitalismcan full dignity of the human being be attained and that our revolution uplifted the dignity of the country and of cubans we declare our will that the law of laws of the republic be guided by the following strong desire of josé martí at last achieved i want the fundamental law of our republic to be the tribute of cubans to the full dignity of man and adopt by means of our free vote in a referendum the following constitution,0
Czech Republic,1993,0.6,"14,580",4,0.38,2,57,we the citizens of the czech republic in bohemia in moravia and in silesia at the time of the restoration of an independent czech state faithful to all good traditions of the longexisting statehood of the lands of the czech crown as well as of czechoslovak statehood resolved to build safeguard and develop the czech republic in the spirit of the sanctity of human dignity and liberty as the homeland of free citizens enjoying equal rights conscious of their duties towards others and their responsibility towards the community as free and democratic state founded on respect for human rights and on the principles of civic society as part of the family of democracies in europe and around the world resolved to guard and develop together the natural and cultural material and spiritual wealth handed down to us resolved to abide by all proven principles of state governed by the rule of law through our freelyelected representatives do adopt this constitution of the czech republic,0
Djibouti,1992,0.41,"6,666",4,0.38,1,26,in the name of god allpowerful the djiboutian people solemnly proclaim their attachment to the principles of democracy and of the rights of man as they are defined by the universal declaration of the rights of man and by the african charter of the rights of man and of peoples of which the provisions form an integral part of this constitution they affirm their determination to establish a state of law and of pluralist democracy guaranteeing the full enjoyment of the individual and collective rights and freedoms as well as the harmonious development of the national community they affirm their will to cooperate in peace and amity with all peoples who share their ideals of liberty of justice and of solidarity on the basis of mutual respect of national sovereignty and of territorial integrity,0
Dominica,1978,0.54,"36,080",3,0.14,0,38,whereas the people of dominicahave affirmed that the commonwealth of dominica is founded upon principles that acknowledge the supremacy of god faith in fundamental human rights and freedoms the position of the family in a society of free men and free institutions the dignity of the human person and the equal and inalienable rights with which all members of the human family are endowed by their creator respect the principles of social justice and therefore believe that the operation of the economic system should result in so distributing the material resources of the community as to subserve the common good that there should be adequate means of livelihood for all that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit ability and integrity have asserted their belief in a democratic society in which all persons may to the extent of their capacity play some part in the institutions of the national life and thus develop and maintain due respect for lawfullyconstituted authority recognise that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and the rule of law desire that their constitution should make provision for ensuring the protection in the commonwealth of dominica of fundamental human rights and freedoms now therefore the following provisions shall have effect as the constitution of the commonwealth of dominica,0
Dominican Republic,2010,0.7,"29,710",6,0.29,4,75,we representatives of the dominican people free and democratically elected gathered in the national revisory assembly invoking the name of god guided by the ideology of our fathers of the fatherland juan pablo duarte matias ramon mella and francisco del rosario sanchez and the heroes of the restoration that established a free independent sovereign and democratic republic inspired by the examples of the struggles and sacrifices of our immortal heroes and heroines encouraged by the selfless work of our men and women ruled by the supreme values and fundamental principles of human dignity freedom equality the rule of law justice solidarity fraternal coexistence social well being ecological balance progress and peace essential factors for social cohesion declare our desire to promote the unity of the dominican nation and as such while exercising of our selfdetermination we adopt and proclaim the following,1
Ecuador,2008,0.79,"54,555",7,0.14,2,99,we women and men the sovereign people of ecuador recognizing our ageold roots wrought by women and men from various peoples celebrating nature the pacha mama mother earth of which we are a part and which is vital to our existence invoking the name of god and recognizing our diverse forms of religion and spirituality calling upon the wisdom of all the cultures that enrich us as a society as heirs to social liberation struggles against all forms of domination and colonialism and with a profound commitment to the present and to the future hereby decide to build a new form of public coexistence in diversity and in harmony with nature to achieve the good way of living the sumak kawsay a society that respects in all its dimensions the dignity of individuals and community groups a democratic country committed to latin american integrationthe dream of simon bolivar and eloy alfaropeace and solidarity with all peoples of the earth and exercising our sovereign powers in ciudad alfaro montecristi province of manabi we bestow upon ourselves the present constitution of the republic of ecuador,1
Egypt,2014,0.77,"22,626",6,0.48,1,65,in the name of god most gracious most merciful this is our constitution egypt is the gift of the nile and the gift of egyptians to humanity blessed with a unique location and history the arab nation of egypt is the heart of the whole world it is the meeting point of its civilizations and cultures and the crossroads of its maritime transportation and communications it is the tip of africa on the mediterranean and the estuary of its greatest river the nile this is egypt an immortal homeland to egyptians and a message of peace and love to all peoples in the beginning of history the dawn of human conscience rose and shone forth in the hearts of our great ancestors uniting their good intention to build the first central state that regulated and organized the life of egyptians on the banks of the nile it is where they created the most amazing wonders of civilization and where their hearts looked up to the heavens before earth knew the three revealed religions egypt is the cradle of religions and the banner of glory of the revealed religions on its land moses grew up the light of god appeared and the message descended on mount sinai on its land egyptians welcomed virgin mary and her baby and offered up thousands of martyrs in defense of the church of jesus when the seal of the messengers mohamed peace and blessings be upon him was sent to all mankind to perfect the sublime morals our hearts and minds were opened to the light of islam we were the best soldiers on earth to fight for the cause of god and we disseminated the message of truth and religious sciences across the world this is egypt a homeland that we live in as much as it lives in us in the modern age minds were enlightened humanity became mature and nations and peoples progressed on the path of science raising the banners of freedom and equality mohamed ali founded the modern egyptian state with a national army as its pillar refaa the son of alazhar prayed that the homeland become quota place of common happiness for its peoplequot we egyptians strived to keep up with the pace of development and offered up martyrs and made sacrifices in several uprisings and revolutions until our patriotic army delivered victory to the sweeping popular will in the jan june revolution that called for bread freedom and human dignity within a framework of social justice and brought back the homelands free will this revolution is but an extension to a process of national struggle whose brightest symbols were ahmed oraby mostafa kamel and mohamed farid it was the capstone of two great revolutions in our modern history the revolution that had rid egypt and the egyptians of the british guardianship and had established the principle of citizenship and equality between the people of the same country its leader saad zaghloul and his successor mosfata elnahhas walked the path of democracy asserting that truth is above power and the nation is above the government during this revolution talaat harb laid down the cornerstone of the national economy the july revolution that was led by the leader gamal abdel nasser and was embraced by the popular will achieved the dream of generations for evacuation and independence as a result egypt affirmed its arab allegiance opened up to its african continent and muslim world supported liberation movements across continents and took firm steps on the path of development and social justice this revolution represents an extension of the revolutionary march of egyptian patriotism and supports the strong bond between the egyptian people and their patriotic army that bore the trust and responsibility of protecting the homeland thanks to it we achieved victory in our greatest battles including driving off the tripartite aggression and the glorious victory of october that granted president sadat a special place in our recent history compared to major revolutions in the history of mankind the jan june revolution is a unique revolution because of the heavy popular participation involved which was estimated to be in the tens of millions and the significant role of youth who aspire to a brighter future the masses who transcended class and ideology to reach out to more expansive patriotic and human horizons the manner in which the peoples army protected the popular will and the blessings granted to it by alazhar and the patriotic church it is also unique because of its peacefulness and ambition to achieve freedom and social justice together this revolution is a sign and a good omen it is a sign of a past that is still present and a good omen of a future to which all humanity aspires the world has almost forgotten about an age that was torn by conflicts of interest between the east and the west and the north and the south an age where disputes and wars erupted between classes and peoples where risks grew threatening the existence of mankind and life on earth which god created for us humanity hopes to move from the age of maturity to the age of wisdom to build a new world where truth and justice prevail and where freedoms and human rights are protected we egyptians believe that our revolution is an opportunity to return to help write a new history for mankind we believe that we are capable of using the past as an inspiration stirring up the present and making our way to the future we are capable of developing this homeland that develops us we believe that every citizen is entitled to live in this homeland in safety and security and that every citizen is entitled to a today and a tomorrow we believe in democracy as a path a future and a way of life in political multiplicity and in the peaceful transfer of power we affirm the right of the people to make their future they alone are the source of authority freedom human dignity and social justice are a right of every citizen sovereignty in a sovereign homeland belongs to us and future generations we are now drafting a constitution that embodies the dream of generations of a prosperous united society and of a fair state that achieves the aspirations of today and tomorrow for individuals and society we are now drafting a constitution that completes building a modern democratic state with a civil government we are drafting a constitution that closes the door for any corruption or tyranny heals the wounds of the past from the time of the old eloquent peasant to the victims of negligence and the martyrs of the revolution in our time and relieves our people of the injustice they have suffered from for long we are drafting a constitution that affirms that the principles of islamic sharia are the principle source of legislation and that the reference for interpretation thereof is the relevant texts in the collected rulings of the supreme constitutional court we are drafting a constitution that paves the way to the future for us and which is in line with the universal declaration of human rights which we took part in the drafting of and approved we are drafting a constitution that maintains our freedom and protects the nation against every threat against it or against our national unity we are drafting a constitution that achieves equality between us in rights and duties with no discrimination we are the citizens we are the egyptian people sovereigns in a sovereign homeland this is our will and this is the constitution of our revolution this is our constitution,1
El Salvador,1983,0.64,"22,823",4,0.38,3,61,we the representatives of the salvadorian people gathered in constituent assembly putting our trust in god our will in the high destinies of the country and in exercise of the sovereign authority that the people of el salvador have conferred to us encouraged by the fervent desire to establish the foundations of national coexistence based in respect for the dignity of the human person in the construction of a more just society the essence of democracy and the spirit of freedom and justice values of our humanistic inheritance decree sanction and proclaim the following constitution,0
Equatorial Guinea,1991,0.57,"5,575",7,0.14,1,33,we the people of equatorial guinea conscious of our responsibility before god and history driven by the will to safeguard our independence organize and consolidate our national unity desirous of upholding the authoritic african spirit of family and community setup adapted to the new social and legal structures of the modern world conscious of the fact that the charismatic authority of the traditional family is the foundation of the equatoguinean society firmly support the principles of social justice and solemnly reaffirm our attachment to the mental freedoms enshrined in the universal declaration of human rights of by virtue of these principles and the free determination of the people adopt the following constitution of the republic of equatorial guinea,1
Eritrea,1997,0.54,"6,753",3,0.48,4,54,we the people of eritrea united in a common struggle for our rights and common destiny with eternal gratitude to the scores of thousands of our martyrs who sacrificed their lives for the causes of our rights and independence during the long and heroic revolutionary struggle for liberation and to the courage and steadfastness of our eritrean patriots and standing on the solid ground of unity and justice bequeathed by our martyrs and combatants aware that it is the sacred duty of all citizens to build a strong and advanced eritrea on the bases of freedom unity peace stability and security achieved through the long struggle of all eritreans which tradition we must cherish preserve and develop realizing that in order to build an advanced country it is necessary that the unity equality love for truth and justice selfreliance and hard work which we nurtured during our revolutionary struggle for independence and which helped us to triumph must become the core of our national values appreciating the fact that for the development and health of our society it is necessary that we inherit and improve upon the traditional communitybased assistance and fraternity love for family respect for elders mutual respect and consideration convinced that the establishment of a democratic order through the participation of and in response to the needs and interests of citizens which guarantees the recognition and protection of the rights of citizens human dignity equality balanced development and the satisfaction of the material and spiritual needs of citizens is the foundation of economic growth social harmony and progress noting the fact that the eritrean womens heroic participation in the struggle for independence human rights and solidarity based on equality and mutual respect generated by such struggle will serve as an unshakable foundation for our commitment to create a society in which women and men shall interact on the bases of mutual respect solidarity and equality desirous that the constitution we are adopting will be a covenant between us and the government which we will be forming by our free will to serve as a means for governing in harmony this and future generations and for bringing about justice and peace founded on democracy national unity and the rule of law today may on this historic date after active popular participation approve and solemnly ratify through the constituent assembly this constitution as the fundamental law of our sovereign and independent state of eritrea,0
Estonia,1992,0.59,"11,344",6,0.38,2,66,the esthonian people with unshaken faith and the resolute will to create a state based on justice law and liberty for the defence of internal and external peace and as a pledge for the social progress and general welfare of present and future generations has drawn up and accepted through the constituent assembly the constitution as follows,1
Ethiopia,1994,0.64,"13,630",3,0.48,4,77,we the nations nationalities and peoples of ethiopia strongly committed in full and free exercise of our right to selfdetermination to building a political community founded on the rule of law and capable of ensuring a lasting peace guaranteeing a democratic order and advancing our economic and social development firmly convinced that the fulfillment of this objective requires full respect of individual and peoples fundamental freedoms and rights to live together on the basis of equality and without any sexual religious or cultural discrimination further convinced that by continuing to live with our rich and proud cultural legacies in territories we have long inhabited have through continuous interaction on various levels and forms of life built up common interests and have also contributed to the emergence of a common outlook fully cognizant that our common destiny can best be served by rectifying historically unjust relationships and by further promoting our shared interests convinced that to live as one economic community is necessary in order to create sustainable and mutually supportive conditions for ensuring respect for our rights and freedoms and for the collective promotion of our interests determined to consolidate as a lasting legacy the peace and the prospect of a democratic order which our struggles and sacrifices have brought about have therefore adopted on december this constitution through representatives we have duly elected for this purpose as an instrument that binds us in a mutual commitment to fulfill the objectives and the principles set forth above,0
Fiji,2013,0.63,"40,773",3,0.43,4,64,we the people of fiji recognising the indigenous people or the itaukei their ownership of itaukei lands their unique culture customs traditions and language recognising the indigenous people or the rotuman from the island of rotuma their ownership of rotuman lands their unique culture customs traditions and language recognising the descendants of the indentured labourers from british india and the pacific islands their culture customs traditions and language and recognising the descendants of the settlers and immigrants to fiji their culture customs traditions and language declare that we are all fijians united by common and equal citizenry recognise the constitution as the supreme law of our country that provides the framework for the conduct of government and all fijians commit ourselves to the recognition and protection of human rights and respect for human dignity declare our commitment to justice national sovereignty and security social and economic wellbeing and safeguarding our environment hereby establish this constitution for the republic of fiji,0
Gabon,1991,0.66,"11,804",7,0.33,1,40,the gabonese people conscious of its responsibility before history animated by the willingness to assure its independence and its national unity to organize the common life according to the principles of national sovereignty pluralist democracy social justice and republican legality solemnly affirms its adherence to the rights of man and the fundamental liberties such as they result from the declaration of the rights of man and the citizen of and the universal declaration of human rights of consecrated by the african charter of the rights of man and the rights of peoples of and by the national charter of liberties of solemnly proclaims its adherence to profound and traditional social values to the cultural patrimony material and spiritual to the respect of liberties rights and duties of the citizen in virtue of these principles and of those of the sovereignty of the people it adopts the present constitution,1
Gambia,1996,0.73,"43,465",3,0.33,6,62,in the name of god the almighty we the people of the gambia have accomplished a great and historic task we have had our say on how we should be governed for this constitution contains our will and resolve for good governance and a just secure and prosperous society our hopes and aspirations as a people were reflected in the enthusiasm and zeal with which we embarked on the task of nation building on the attainment of independence the selfperpetuating rule of the recent past however soon gave rise to the abuse of office and related vices which negated the total welfare of the gambian people the sovereign people of the gambia therefore endorsed the change of government on nd july to rectify such evils this constitution provides for us a fundamental law which affirms our commitment to freedom justice probity and accountability it also affirms the principle that all power emanate from the sovereign will of the people the fundamental rights and freedoms enshrined in this constitution will ensure for all time respect for and observance of human rights and fundamental freedoms for all without distinction as to ethnic considerations gender language or religion in acknowledging our fundamental rights we also affirm our duties and responsibilities as citizens of this country this constitution guarantees participatory democracy that reflects the undiluted choice of the people the functions of the arms of government have been clearly defined their independence amply secured with adequate checks and balances to ensure that they all work harmoniously together toward our common good as we usher in the second republic and beyond we give ourselves and generations of gambians yet unborn this constitution as a beacon of hope for peace and stability in our society and the good governance of the gambia for all time in this spirit we continue to pledge our firm allegiance to our beloved country and pray that the great god of nations will keep us all ever true to the gambia,0
Georgia,1995,0.66,"11,490",5,0.43,2,63,the citizens of georgia whose firm will is to establish a democratic social order economic freedom a rule of law based social state to secure universally recognised human rights and freedoms to enhance the state independence and peaceful relations with other peoples bearing in mind the centuries old traditions of the statehood of the georgian nation and the basic principles of the constitution of georgia of proclaim nationwide the present constitution,1
Germany,1949,0.71,"27,379",5,0.29,2,48,conscious of their responsibility before god and man inspired by the determination to promote world peace as an equal partner in a united europe the german people in the exercise of their constituent power have adopted this basic law germans in the länder of badenwürttemberg bavaria berlin brandenburg bremen hamburg hesse lower saxony mecklenburgwestern pomerania north rhinewestphalia rhinelandpalatinate saarland saxony saxonyanhalt schleswigholstein and thuringia have achieved the unity and freedom of germany in free selfdetermination this basic law thus applies to the entire german people,1
Ghana,1992,0.71,"53,985",3,0.29,4,61,in the name of the almighty god we the people of ghana in exercise of our natural and inalienable right to establish a framework of government which shall secure for ourselves and posterity the blessings of liberty equality of opportunity and prosperity in a spirit of friendship and peace with all peoples of the world and in solemn declaration and affirmation of our commitment to freedom justice probity and accountability the principle that all powers of government spring from the sovereign will of the people the principle of universal adult suffrage the rule of law the protection and preservation of fundamental human rights and freedoms unity and stability for our nation do hereby adopt enact and give to ourselves this constitution,0
Greece,1975,0.73,"26,989",3,0.24,3,56,in the name of the holy and consubstantial and indivisible trinity,0
Grenada,1991,0.47,"33,737",3,0.14,1,39,whereas the people of grenadahave affirmed that their nation is founded upon principles that acknowledge the fatherhood and supremacy of god and mans duties toward his fellow man recognise that inasmuch as spiritual development is of supreme importance to human existence and the highest expression thereof it is their aspiration to serve that end with all their strength and resources firmly believe in the dignity of human values and that all men are endowed by the creator with equal and inalienable rights reason and conscience that rights and duties are correlatives in every social and political activity of man and that while rights exalt individual freedom duties express the dignity of that freedom express their respect for the rule of law and since moral conduct constitutes the noblest flowering of their culture and their plural heritage regard it as the duty of every man always to hold it in high respect reiterate that the ideal of free men enjoying freedom from fear and want can be best achieved if conditions are created whereby everyone may enjoy his economic social and political civil and cultural rights desire that their constitution should reflect the above mentioned principles and beliefs which represent those high ideals upon which their nation is founded and make provision for ensuring the protection in grenada of fundamental rights and freedoms now therefore the following provisions shall have effect as the constitution of grenada,0
Guatemala,1985,0.6,"28,692",5,0.38,1,63,invoking the name of god we the representatives of the people of guatemala elected freely and democratically gathered in the national constituent assembly with the goal of legally and politically organizing the state affirming the primacy of the human person as the subject and purpose fin of the social order recognizing the family as the primary and fundamental genesis of the spiritual and moral values of the society and the state as the one responsible for promoting the common good of the consolidation of the regime of legality security justice equality freedom and peace inspired by the ideals of our forefathers and embracing recogiendo our traditions and cultural heritage decided to promote the complete validity vigencia of the human rights within a stable permanent and popular institutional order one where the governed and the governors can proceed with absolute attachment to the law solemnly decree sanction and promulgate the following political constitution of the republic of guatemala,1
